"role","source_sha","source_digest","R","platform","dependencies","fixture_seed","weight_seed","command"
"baseline","953d2a64ff356d55f4a6fd3278a7f11db018fea6","fa214569850351cd7ea64f8268b61afdad8eba55","R version 4.5.1 (2025-06-13)","aarch64-apple-darwin20","dkge=0.0.0.9000;Matrix=1.7.3;RSpectra=0.16.2;irlba=2.3.7;Rcpp=1.1.2;RcppArmadillo=15.4.2.1;future.apply=1.20.2;ggplot2=4.0.3",20260820,8172026,"Rscript tools/dkge-full-coverage-golden.R --output-dir=/Users/bbuchsbaum/code/dkge/inst/extdata"
"candidate","9dadf69371ca72bfdc49b94ade0abd22c56fb650","f5283af4d4e85639dffc41bf9a3a775d","R version 4.5.1 (2025-06-13)","aarch64-apple-darwin20","dkge=0.0.0.9000;Matrix=1.7.3;RSpectra=0.16.2;irlba=2.3.7;Rcpp=1.1.2;RcppArmadillo=15.4.2.1;future.apply=1.20.2;ggplot2=4.0.3",20260820,8172026,"Rscript tools/dkge-full-coverage-golden.R --output-dir=/Users/bbuchsbaum/code/dkge/inst/extdata"
