"scenario","seed","signal","noise","missingness","method","subspace_angle_deg","inverse_count_correlation","contrast_error","interval_covered","null_reject","null_p","high_count_influence","empty_cell_fraction"
1,73107,"null","iid","mcar","iid_analytic",NA,0.239857361294062,NA,1,0,0.384,0.065549300916948,0.14537037037037
1,73107,"null","iid","mcar","covariance_analytic",NA,0.239857361294062,NA,1,0,0.384,0.065549300916948,0.14537037037037
1,73107,"null","iid","mcar","split_half",NA,0.242817719229304,NA,1,0,0.384,0.271518951105953,0.14537037037037
1,73108,"null","iid","mcar","legacy",NA,0.273954412036794,NA,0,0,0.778,0.0652475547328489,0.141666666666667
1,73108,"null","iid","mcar","count",NA,0.321897214361908,NA,0,0,0.778,0.0978323479812149,0.141666666666667
1,73108,"null","iid","mcar","explicit_precision",NA,0.322798181580561,NA,0,0,0.778,0.0988145414954143,0.141666666666667
1,73108,"null","iid","mcar","random_effects",NA,0.321897214361908,NA,0,0,0.778,0.0978323479812149,0.141666666666667
1,73108,"null","iid","mcar","iid_analytic",NA,0.228176612583546,NA,1,0,0.778,0.0652475547328489,0.141666666666667
1,73108,"null","iid","mcar","covariance_analytic",NA,0.228176612583546,NA,1,0,0.778,0.0652475547328489,0.141666666666667
1,73108,"null","iid","mcar","split_half",NA,0.420810082036225,NA,1,0,0.778,0.246485715098403,0.141666666666667
1,73109,"null","iid","mcar","legacy",NA,0.19090408770499,NA,0,0,0.934,0.067357385261797,0.165740740740741
1,73109,"null","iid","mcar","count",NA,0.195273642070024,NA,0,0,0.934,0.106053000009496,0.165740740740741
1,73109,"null","iid","mcar","explicit_precision",NA,0.194488036099038,NA,0,0,0.934,0.10685020356487,0.165740740740741
1,73109,"null","iid","mcar","random_effects",NA,0.195273642070024,NA,0,0,0.934,0.106053000009496,0.165740740740741
1,73109,"null","iid","mcar","iid_analytic",NA,0.235851778583785,NA,1,0,0.934,0.067357385261797,0.165740740740741
1,73109,"null","iid","mcar","covariance_analytic",NA,0.235851778583785,NA,1,0,0.934,0.067357385261797,0.165740740740741
1,73109,"null","iid","mcar","split_half",NA,0.0424164232519744,NA,1,0,0.934,0.277648049212012,0.165740740740741
1,73110,"null","iid","mcar","legacy",NA,0.288011233779135,NA,0,0,0.773,0.065912324331442,0.14537037037037
1,73110,"null","iid","mcar","count",NA,0.330031973935685,NA,0,0,0.773,0.098894480797232,0.14537037037037
1,73110,"null","iid","mcar","explicit_precision",NA,0.331952719129218,NA,0,0,0.773,0.099633464621432,0.14537037037037
1,73110,"null","iid","mcar","random_effects",NA,0.330031973935685,NA,0,0,0.773,0.098894480797232,0.14537037037037
1,73110,"null","iid","mcar","iid_analytic",NA,0.341478225525346,NA,1,0,0.773,0.065912324331442,0.14537037037037
1,73110,"null","iid","mcar","covariance_analytic",NA,0.341478225525346,NA,1,0,0.773,0.065912324331442,0.14537037037037
1,73110,"null","iid","mcar","split_half",NA,0.175703443840486,NA,1,0,0.773,0.295112541072059,0.14537037037037
1,73111,"null","iid","mcar","legacy",NA,0.12081914593248,NA,0,0,0.754,0.0651134840105428,0.139814814814815
1,73111,"null","iid","mcar","count",NA,0.147004949183795,NA,0,0,0.754,0.097454865475899,0.139814814814815
1,73111,"null","iid","mcar","explicit_precision",NA,0.153263488639116,NA,0,0,0.754,0.0977906266434978,0.139814814814815
1,73111,"null","iid","mcar","random_effects",NA,0.147004949183795,NA,0,0,0.754,0.097454865475899,0.139814814814815
1,73111,"null","iid","mcar","iid_analytic",NA,0.0578793268400835,NA,1,0,0.754,0.0651134840105428,0.139814814814815
